Tries,Count,Partial,Cumulative
1,76976,0.00076976,0.00076976
2,1185102,0.01185102,0.01262078
3,3341724,0.03341724,0.04603802
4,5455212,0.05455212,0.10059014
5,6992493,0.06992493,0.17051507
6,7856240,0.07856240,0.24907747
7,8141466,0.08141466,0.33049213
8,7990327,0.07990327,0.41039540
9,7560120,0.07560120,0.48599660
10,6955382,0.06955382,0.55555042
11,6270644,0.06270644,0.61825686
12,5556742,0.05556742,0.67382428
13,4867731,0.04867731,0.72250159
14,4226027,0.04226027,0.76476186
15,3639817,0.03639817,0.80116003
16,3113262,0.03113262,0.83229265
17,2657760,0.02657760,0.85887025
18,2255952,0.02255952,0.88142977
19,1909168,0.01909168,0.90052145
20,1608792,0.01608792,0.91660937
21,1355951,0.01355951,0.93016888
22,1141199,0.01141199,0.94158087
23,960028,0.00960028,0.95118115
24,803490,0.00803490,0.95921605
25,672271,0.00672271,0.96593876
26,563579,0.00563579,0.97157455
27,471084,0.00471084,0.97628539
28,393346,0.00393346,0.98021885
29,328663,0.00328663,0.98350548
30,274201,0.00274201,0.98624749
31,228522,0.00228522,0.98853271
32,190360,0.00190360,0.99043631
33,160317,0.00160317,0.99203948
34,132244,0.00132244,0.99336192
35,110442,0.00110442,0.99446634
36,92166,0.00092166,0.99538800
37,76747,0.00076747,0.99615547
38,64102,0.00064102,0.99679649
39,53284,0.00053284,0.99732933
40,44470,0.00044470,0.99777403
41,37176,0.00037176,0.99814579
42,30868,0.00030868,0.99845447
43,25778,0.00025778,0.99871225
44,21499,0.00021499,0.99892724
45,18014,0.00018014,0.99910738
46,15121,0.00015121,0.99925859
47,12550,0.00012550,0.99938409
48,10189,0.00010189,0.99948598
49,8441,0.00008441,0.99957039
50,7197,0.00007197,0.99964236
51,5946,0.00005946,0.99970182
52,4955,0.00004955,0.99975137
53,4097,0.00004097,0.99979234
54,3464,0.00003464,0.99982698
55,2854,0.00002854,0.99985552
56,2365,0.00002365,0.99987917
57,1963,0.00001963,0.99989880
58,1678,0.00001678,0.99991558
59,1328,0.00001328,0.99992886
60,1181,0.00001181,0.99994067
61,927,0.00000927,0.99994994
62,811,0.00000811,0.99995805
63,707,0.00000707,0.99996512
64,570,0.00000570,0.99997082
65,473,0.00000473,0.99997555
66,392,0.00000392,0.99997947
67,327,0.00000327,0.99998274
68,280,0.00000280,0.99998554
69,235,0.00000235,0.99998789
70,181,0.00000181,0.99998970
71,146,0.00000146,0.99999116
72,143,0.00000143,0.99999259
73,123,0.00000123,0.99999382
74,122,0.00000122,0.99999504
75,85,0.00000085,0.99999589
76,72,0.00000072,0.99999661
77,60,0.00000060,0.99999721
78,38,0.00000038,0.99999759
79,34,0.00000034,0.99999793
80,38,0.00000038,0.99999831
81,27,0.00000027,0.99999858
82,32,0.00000032,0.99999890
83,21,0.00000021,0.99999911
84,12,0.00000012,0.99999923
85,14,0.00000014,0.99999937
86,8,0.00000008,0.99999945
87,7,0.00000007,0.99999952
88,6,0.00000006,0.99999958
89,5,0.00000005,0.99999963
90,6,0.00000006,0.99999969
91,6,0.00000006,0.99999975
92,5,0.00000005,0.99999980
93,2,0.00000002,0.99999982
94,5,0.00000005,0.99999987
95,1,0.00000001,0.99999988
96,4,0.00000004,0.99999992
97,1,0.00000001,0.99999993
98,1,0.00000001,0.99999994
99,2,0.00000002,0.99999996
100,1,0.00000001,0.99999997
101,2,0.00000002,0.99999999
102,0,0.00000000,0.99999999
103,1,0.00000001,1.00000000

N_min    =   1
N_max    = 103
N_mode   =   7
N_median =   9.20 (1st ord appr)
N_mean   =  11.09

Chance of Yahtzee in 1: 0.0770%
Chance of Yahtzee in 3: 4.604%
